Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,DKI Jakarta,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
01/ 01/ 2019,-,-,11600,-,-,-,-,-,-,-,-,-,-,12050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
08/ 01/ 2019,13450,12250,11650,12300,12150,11650,12550,12100,12450,11700,11600,12200,12800,11800,12100,11900,13300,13200,14850,12600,12650,14000,14550,13800,14150,12600,14100,14000,14100,13200,15700,15100,14900,15750
15/ 01/ 2019,13400,12250,11700,12300,12300,11600,12550,12150,12300,11700,11650,12200,12800,11800,12050,11850,13250,13150,14850,12600,12600,14000,14650,13850,14100,12550,14100,14000,14100,13200,15400,15100,14950,15650
22/ 01/ 2019,13450,12300,11700,12250,12300,11650,12550,11950,12300,11700,11600,12200,12800,11800,12050,11850,13300,13200,14850,12650,12600,14000,14650,13750,14150,12600,14100,14000,14100,13100,15400,15100,14900,16000
29/ 01/ 2019,13500,12300,11700,12300,12300,11750,12550,12150,12450,11700,11600,12200,12800,11800,12050,11900,13400,13200,14850,12650,12500,14050,14650,13850,14200,12600,14100,14000,14200,13100,15400,15100,14950,15750
05/ 02/ 2019,-,-,-,-,-,-,-,-,-,-,-,-,-,11900,-,12200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12/ 02/ 2019,13550,12300,11750,12300,12300,11750,12450,12200,12500,11750,11800,12250,12850,11750,11950,11950,13400,13150,14950,12650,12400,13900,14550,14300,14150,12600,14100,13700,14550,13100,15400,15100,14950,15200
19/ 02/ 2019,13600,12300,11750,12250,12300,11750,12450,12200,12450,11750,11750,12250,12850,11800,11950,11950,13450,13200,14950,12650,12450,13800,14550,14300,14350,12600,14100,13700,14400,13100,15650,15100,14950,15400
26/ 02/ 2019,13550,12300,11750,12300,12300,11800,12450,12200,12450,11800,11650,12250,12850,11800,11900,11950,13450,13150,14950,12650,12450,13800,14550,14300,14450,12600,14100,13700,14400,13100,15650,15100,14950,15400
05/ 03/ 2019,13550,12300,11750,12400,12300,11800,12450,12150,12550,11750,11650,12250,12850,11750,11900,11950,13450,13100,14950,12650,12450,13800,14550,13950,14400,12550,14100,13600,14350,13750,15650,15100,14800,15400
12/ 03/ 2019,13500,12350,11750,12400,12300,11800,12400,12150,12550,11750,11700,12200,12850,11850,11900,11950,13400,13100,14950,12650,12450,13800,14550,13900,14400,12650,14100,13600,14250,13700,15650,15100,14900,15400
19/ 03/ 2019,13500,12350,11750,12400,12300,11800,12400,12150,12650,11750,11650,12200,12850,11800,11900,11950,13300,13100,14950,12600,12450,13750,14550,14050,14400,12700,14100,13600,14250,13750,15400,15100,14850,15450
26/ 03/ 2019,13350,12350,11750,12400,12300,11800,12450,12150,12650,11700,11650,12250,12850,11800,11900,12000,13300,13100,14950,12600,12450,13750,14550,14050,14450,12750,14100,13500,14200,13800,15400,15100,14900,15450
02/ 04/ 2019,13450,12250,11750,12400,12300,11800,12450,12150,12550,11700,11850,12200,12850,11900,11900,11950,13300,13000,14950,12600,12400,13750,14250,13950,14450,12750,14100,13500,14150,13200,15400,15100,14900,15250
09/ 04/ 2019,13400,12300,11750,12400,12350,11800,12300,12150,12500,11700,11850,12250,12850,11850,11900,11950,13300,13000,14950,12600,12400,13700,14550,13950,14000,12700,14100,13500,14150,13850,15400,15100,14850,15300
16/ 04/ 2019,13400,12300,11750,12350,12350,11800,12250,12150,12550,11700,11800,12250,12850,11850,11900,12000,13150,13000,15050,12600,12400,13700,14550,13950,13900,12700,14000,13500,14150,13850,15400,15100,14850,15300
23/ 04/ 2019,13400,12300,11750,12350,12350,11800,12250,12150,12600,11700,11900,12300,12850,11850,11900,12000,13150,13000,15050,12600,12400,13700,14550,13950,14050,12750,14000,13500,14200,13850,15400,15100,14850,15300
30/ 04/ 2019,13400,12300,11750,12350,12350,11800,12250,12150,12600,11700,11900,12300,12850,11850,11900,12000,13050,13000,15050,12600,12350,13700,14550,14050,14100,12750,14000,13500,14300,13850,15400,15100,14850,15400
07/ 05/ 2019,13400,12300,11750,12400,12350,11800,12250,12150,12500,11700,11900,12300,12850,11850,11900,12000,13050,13000,15050,12600,12350,13750,14550,14100,14250,12750,14000,13600,14300,13850,15400,15100,14850,15400
14/ 05/ 2019,13400,12350,11750,12350,12350,11800,12250,12150,12500,11650,11900,12300,12850,11850,11900,12000,13050,12950,14950,12600,12250,13700,14550,14150,14700,12750,14000,13650,14300,13850,15400,15100,14850,15350
21/ 05/ 2019,13400,12300,11750,12350,12350,11800,12250,12150,12500,11650,11750,12300,12850,11850,11900,12000,13000,12950,14950,12550,11850,13700,14550,13850,14700,12700,14000,13650,14400,13800,15400,15100,14800,15250
28/ 05/ 2019,13400,12350,11750,12350,12350,11800,12250,12150,12450,11650,11650,12300,12850,11850,11900,12000,13050,13000,14950,12550,12200,13750,14450,13800,14600,12700,14000,13650,14400,13900,-,15100,14800,15100
04/ 06/ 2019,13400,12400,11750,12350,12350,11800,12250,12150,12450,11650,11650,12350,12850,11850,11900,12000,13050,13100,15050,12550,12200,13750,14450,13600,14650,12700,14000,13650,14400,13900,15450,15100,14850,15100
11/ 06/ 2019,13350,12300,11750,12350,12350,11800,12250,12150,12450,11650,11650,12350,12850,11850,11900,12000,13050,12950,15050,12550,12200,13750,14450,13600,14900,12700,14000,13400,14400,13900,15450,15100,14850,15100
18/ 06/ 2019,13350,12250,11750,12350,12250,11800,12250,12150,12450,11650,11650,12300,12850,11800,11900,12000,13150,12950,15050,12550,12200,13750,14450,13850,15200,12700,14000,13400,14400,13900,15450,15100,14800,15100
25/ 06/ 2019,13350,12400,11750,12350,12200,11800,12250,12150,12450,11650,11550,12300,12850,11800,11900,12000,13050,13000,14950,12500,12200,13750,14450,13850,16050,12700,14000,13400,14250,13900,15450,15100,14800,15100
02/ 07/ 2019,13300,12200,11700,12300,12250,11800,12250,12150,12450,11650,11600,12250,12850,11800,11550,11950,13050,12950,14850,12500,12250,13700,14450,13850,15850,12650,14000,13400,14250,13900,15450,15100,14800,15100
09/ 07/ 2019,13300,12150,11650,12300,12250,11800,12250,12150,12450,11650,11600,12250,12850,11750,11550,11900,13150,12950,14950,12400,12150,13700,14500,13650,15800,12650,14000,13500,14100,13900,15450,15100,14800,15250
16/ 07/ 2019,13450,12150,11600,12200,12250,11650,12250,12100,12450,11700,11550,12250,12750,11750,11550,11900,13200,12950,15000,12400,12150,13750,14500,13650,15800,12650,14000,13400,14150,13900,15450,15100,14800,15250
23/ 07/ 2019,13300,12150,11600,12200,12250,11600,12200,12100,12450,11700,11500,12200,12750,11750,11550,11850,-,12900,15000,12400,12150,13750,14500,13650,15800,12650,14000,13400,14250,13900,15450,15100,14800,15250
30/ 07/ 2019,13300,12150,11600,12200,12150,11600,12200,12100,12500,11600,11500,12200,12750,11750,11550,11850,13200,12900,15000,12400,12100,13750,14500,13700,15750,12600,14000,13350,14250,13900,15450,15100,14800,15250
06/ 08/ 2019,13300,12150,11550,12200,12150,11600,12200,12150,12500,11600,11500,12200,12750,11750,11550,11850,13200,13050,15050,12400,12100,13750,14500,13600,15900,12550,14000,13350,14250,13850,15450,15100,14750,15250
13/ 08/ 2019,13300,12150,11600,12200,12150,11600,12200,12150,12500,11550,11600,12200,12750,11750,11450,11900,13300,13100,14950,12400,12150,13750,14500,13650,15900,12550,14000,13350,14650,13850,15400,15100,14750,15250
20/ 08/ 2019,13350,12150,11700,12100,12200,11600,12200,12150,12450,11600,11650,12250,12750,11750,11450,11900,13300,13150,15000,12500,12100,13750,14450,13600,15950,12550,14000,13350,14850,13800,15400,15250,14750,15500
27/ 08/ 2019,13200,12150,11700,12050,12200,11600,12200,12150,12500,11600,11750,12300,12800,11750,11450,11850,13300,13150,15000,12500,12100,13750,14450,13600,16200,12550,14000,13350,14750,13800,15400,14300,14800,15250
03/ 09/ 2019,13150,12150,11700,12100,12200,11600,12200,12150,12500,11650,11800,12250,12800,11750,11450,11850,13300,13100,15000,12500,12050,13750,14500,13600,16200,12550,14000,13350,14700,13700,15400,15500,14800,15250
10/ 09/ 2019,13250,12150,11700,12100,12200,11700,12200,12150,12500,11700,11800,12250,12800,11750,11450,11850,13200,13100,15000,12500,12050,13700,14500,13600,16000,12550,14000,13350,14700,13700,15400,15500,14800,15250
17/ 09/ 2019,13200,12150,11700,12200,12150,11700,12200,12150,12350,11700,11600,12200,12800,11750,11450,11850,13200,13100,15000,12500,12050,13700,14500,13650,15850,12550,14000,13350,14500,13700,15400,15500,14800,14400
