Tanggal,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,DKI Jakarta,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
01/01/2019,-,-,"11.600,00",-,-,-,-,-,-,-,-,-,-,"12.050,00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
08/01/2019,"13.450,00","12.250,00","11.650,00","12.300,00","12.150,00","11.650,00","12.550,00","12.100,00","12.450,00","11.700,00","11.600,00","12.200,00","12.800,00","11.800,00","12.100,00","11.900,00","13.300,00","13.200,00","14.850,00","12.600,00","12.650,00","14.000,00","14.550,00","13.800,00","14.150,00","12.600,00","14.100,00","14.000,00","14.100,00","13.200,00","15.700,00","15.100,00","14.900,00","15.750,00"
15/01/2019,"13.400,00","12.250,00","11.700,00","12.300,00","12.300,00","11.600,00","12.550,00","12.150,00","12.300,00","11.700,00","11.650,00","12.200,00","12.800,00","11.800,00","12.050,00","11.850,00","13.250,00","13.150,00","14.850,00","12.600,00","12.600,00","14.000,00","14.650,00","13.850,00","14.100,00","12.550,00","14.100,00","14.000,00","14.100,00","13.200,00","15.400,00","15.100,00","14.950,00","15.650,00"
22/01/2019,"13.450,00","12.300,00","11.700,00","12.250,00","12.300,00","11.650,00","12.550,00","11.950,00","12.300,00","11.700,00","11.600,00","12.200,00","12.800,00","11.800,00","12.050,00","11.850,00","13.300,00","13.200,00","14.850,00","12.650,00","12.600,00","14.000,00","14.650,00","13.750,00","14.150,00","12.600,00","14.100,00","14.000,00","14.100,00","13.100,00","15.400,00","15.100,00","14.900,00","16.000,00"
29/01/2019,"13.500,00","12.300,00","11.700,00","12.300,00","12.300,00","11.750,00","12.550,00","12.150,00","12.450,00","11.700,00","11.600,00","12.200,00","12.800,00","11.800,00","12.050,00","11.900,00","13.400,00","13.200,00","14.850,00","12.650,00","12.500,00","14.050,00","14.650,00","13.850,00","14.200,00","12.600,00","14.100,00","14.000,00","14.200,00","13.100,00","15.400,00","15.100,00","14.950,00","15.750,00"
05/02/2019,-,-,-,-,-,-,-,-,-,-,-,-,-,"11.900,00",-,"12.200,00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12/02/2019,"13.550,00","12.300,00","11.750,00","12.300,00","12.300,00","11.750,00","12.450,00","12.200,00","12.500,00","11.750,00","11.800,00","12.250,00","12.850,00","11.750,00","11.950,00","11.950,00","13.400,00","13.150,00","14.950,00","12.650,00","12.400,00","13.900,00","14.550,00","14.300,00","14.150,00","12.600,00","14.100,00","13.700,00","14.550,00","13.100,00","15.400,00","15.100,00","14.950,00","15.200,00"
19/02/2019,"13.600,00","12.300,00","11.750,00","12.250,00","12.300,00","11.750,00","12.450,00","12.200,00","12.450,00","11.750,00","11.750,00","12.250,00","12.850,00","11.800,00","11.950,00","11.950,00","13.450,00","13.200,00","14.950,00","12.650,00","12.450,00","13.800,00","14.550,00","14.300,00","14.350,00","12.600,00","14.100,00","13.700,00","14.400,00","13.100,00","15.650,00","15.100,00","14.950,00","15.400,00"
26/02/2019,"13.550,00","12.300,00","11.750,00","12.300,00","12.300,00","11.800,00","12.450,00","12.200,00","12.450,00","11.800,00","11.650,00","12.250,00","12.850,00","11.800,00","11.900,00","11.950,00","13.450,00","13.150,00","14.950,00","12.650,00","12.450,00","13.800,00","14.550,00","14.300,00","14.450,00","12.600,00","14.100,00","13.700,00","14.400,00","13.100,00","15.650,00","15.100,00","14.950,00","15.400,00"
05/03/2019,"13.550,00","12.300,00","11.750,00","12.400,00","12.300,00","11.800,00","12.450,00","12.150,00","12.550,00","11.750,00","11.650,00","12.250,00","12.850,00","11.750,00","11.900,00","11.950,00","13.450,00","13.100,00","14.950,00","12.650,00","12.450,00","13.800,00","14.550,00","13.950,00","14.400,00","12.550,00","14.100,00","13.600,00","14.350,00","13.750,00","15.650,00","15.100,00","14.800,00","15.400,00"
12/03/2019,"13.500,00","12.350,00","11.750,00","12.400,00","12.300,00","11.800,00","12.400,00","12.150,00","12.550,00","11.750,00","11.700,00","12.200,00","12.850,00","11.850,00","11.900,00","11.950,00","13.400,00","13.100,00","14.950,00","12.650,00","12.450,00","13.800,00","14.550,00","13.900,00","14.400,00","12.650,00","14.100,00","13.600,00","14.250,00","13.700,00","15.650,00","15.100,00","14.900,00","15.400,00"
19/03/2019,"13.500,00","12.350,00","11.750,00","12.400,00","12.300,00","11.800,00","12.400,00","12.150,00","12.650,00","11.750,00","11.650,00","12.200,00","12.850,00","11.800,00","11.900,00","11.950,00","13.300,00","13.100,00","14.950,00","12.600,00","12.450,00","13.750,00","14.550,00","14.050,00","14.400,00","12.700,00","14.100,00","13.600,00","14.250,00","13.750,00","15.400,00","15.100,00","14.850,00","15.450,00"
26/03/2019,"13.350,00","12.350,00","11.750,00","12.400,00","12.300,00","11.800,00","12.450,00","12.150,00","12.650,00","11.700,00","11.650,00","12.250,00","12.850,00","11.800,00","11.900,00","12.000,00","13.300,00","13.100,00","14.950,00","12.600,00","12.450,00","13.750,00","14.550,00","14.050,00","14.450,00","12.750,00","14.100,00","13.500,00","14.200,00","13.800,00","15.400,00","15.100,00","14.900,00","15.450,00"
02/04/2019,"13.450,00","12.250,00","11.750,00","12.400,00","12.300,00","11.800,00","12.450,00","12.150,00","12.550,00","11.700,00","11.850,00","12.200,00","12.850,00","11.900,00","11.900,00","11.950,00","13.300,00","13.000,00","14.950,00","12.600,00","12.400,00","13.750,00","14.250,00","13.950,00","14.450,00","12.750,00","14.100,00","13.500,00","14.150,00","13.200,00","15.400,00","15.100,00","14.900,00","15.250,00"
09/04/2019,"13.400,00","12.300,00","11.750,00","12.400,00","12.350,00","11.800,00","12.300,00","12.150,00","12.500,00","11.700,00","11.850,00","12.250,00","12.850,00","11.850,00","11.900,00","11.950,00","13.300,00","13.000,00","14.950,00","12.600,00","12.400,00","13.700,00","14.550,00","13.950,00","14.000,00","12.700,00","14.100,00","13.500,00","14.150,00","13.850,00","15.400,00","15.100,00","14.850,00","15.300,00"
16/04/2019,"13.400,00","12.300,00","11.750,00","12.350,00","12.350,00","11.800,00","12.250,00","12.150,00","12.550,00","11.700,00","11.800,00","12.250,00","12.850,00","11.850,00","11.900,00","12.000,00","13.150,00","13.000,00","15.050,00","12.600,00","12.400,00","13.700,00","14.550,00","13.950,00","13.900,00","12.700,00","14.000,00","13.500,00","14.150,00","13.850,00","15.400,00","15.100,00","14.850,00","15.300,00"
23/04/2019,"13.400,00","12.300,00","11.750,00","12.350,00","12.350,00","11.800,00","12.250,00","12.150,00","12.600,00","11.700,00","11.900,00","12.300,00","12.850,00","11.850,00","11.900,00","12.000,00","13.150,00","13.000,00","15.050,00","12.600,00","12.400,00","13.700,00","14.550,00","13.950,00","14.050,00","12.750,00","14.000,00","13.500,00","14.200,00","13.850,00","15.400,00","15.100,00","14.850,00","15.300,00"
30/04/2019,"13.400,00","12.300,00","11.750,00","12.350,00","12.350,00","11.800,00","12.250,00","12.150,00","12.600,00","11.700,00","11.900,00","12.300,00","12.850,00","11.850,00","11.900,00","12.000,00","13.050,00","13.000,00","15.050,00","12.600,00","12.350,00","13.700,00","14.550,00","14.050,00","14.100,00","12.750,00","14.000,00","13.500,00","14.300,00","13.850,00","15.400,00","15.100,00","14.850,00","15.400,00"
07/05/2019,"13.400,00","12.300,00","11.750,00","12.400,00","12.350,00","11.800,00","12.250,00","12.150,00","12.500,00","11.700,00","11.900,00","12.300,00","12.850,00","11.850,00","11.900,00","12.000,00","13.050,00","13.000,00","15.050,00","12.600,00","12.350,00","13.750,00","14.550,00","14.100,00","14.250,00","12.750,00","14.000,00","13.600,00","14.300,00","13.850,00","15.400,00","15.100,00","14.850,00","15.400,00"
14/05/2019,"13.400,00","12.350,00","11.750,00","12.350,00","12.350,00","11.800,00","12.250,00","12.150,00","12.500,00","11.650,00","11.900,00","12.300,00","12.850,00","11.850,00","11.900,00","12.000,00","13.050,00","12.950,00","14.950,00","12.600,00","12.250,00","13.700,00","14.550,00","14.150,00","14.700,00","12.750,00","14.000,00","13.650,00","14.300,00","13.850,00","15.400,00","15.100,00","14.850,00","15.350,00"
21/05/2019,"13.400,00","12.300,00","11.750,00","12.350,00","12.350,00","11.800,00","12.250,00","12.150,00","12.500,00","11.650,00","11.750,00","12.300,00","12.850,00","11.850,00","11.900,00","12.000,00","13.000,00","12.950,00","14.950,00","12.550,00","11.850,00","13.700,00","14.550,00","13.850,00","14.700,00","12.700,00","14.000,00","13.650,00","14.400,00","13.800,00","15.400,00","15.100,00","14.800,00","15.250,00"
28/05/2019,"13.400,00","12.350,00","11.750,00","12.350,00","12.350,00","11.800,00","12.250,00","12.150,00","12.450,00","11.650,00","11.650,00","12.300,00","12.850,00","11.850,00","11.900,00","12.000,00","13.050,00","13.000,00","14.950,00","12.550,00","12.200,00","13.750,00","14.450,00","13.800,00","14.600,00","12.700,00","14.000,00","13.650,00","14.400,00","13.900,00",-,"15.100,00","14.800,00","15.100,00"
